Customer_ID,FirstName,LastName,Email,Phone,AccountCreationDate
2e8cbc6e-78c6-4101-9e59-c1c91ce2bc80,Jessica,Hernandez,dianemartinez@yahoo.com,287-211-6694x6534,2022-01-25
d8c80826-fdc5-42f4-a451-0d423e1e2860,Phillip,Reyes,erik42@hotmail.com,506.144.2941x61719,2021-09-12
e1871d6c-8343-4785-9a4a-73d8dc13d593,Hannah,Hughes,kayla24@yahoo.com,0016326079,2020-04-05
7109fcf1-b820-407a-aa7a-95b60d4b5851,Gabriel,Singleton,robert50@allen.com,(566)730-0149,2021-10-20
b9b2afc7-c8db-4a4f-a58b-2f8ba805e16b,Victoria,Mcconnell,oconnorteresa@hotmail.com,271-472-0159,2020-01-24
7a3ffb69-20fc-4cd2-b86f-8e8b4808e28e,Kara,Rowland,lbradley@yahoo.com,+1-764-592-4203x9921,2024-01-12
d86aef6f-18db-43e3-b9ec-fb536964efbd,Austin,Walker,mbarnett@davis.org,688-994-6083x831,2021-06-09
e1b1c1ca-61c1-458c-8d88-733c6baf9b52,Christopher,Brown,nicholas76@hotmail.com,926-284-2619x37324,2020-02-13
fd479f4d-8cd5-478c-b546-b166bf5af666,Andrew,Knox,pricetyler@yahoo.com,412-289-4167x90454,2020-06-28
e4dbeff6-fe3f-4327-ace0-f070d896dd8d,Natalie,Ford,victoria96@gmail.com,464-403-4318x26705,2019-11-20
d67e7ebe-c94b-41c7-9fb1-8f3761b57eec,Michael,Mcdonald,smithjudith@gmail.com,910.560.2133x0138,2022-08-06
f34e25b2-43bc-4488-8303-2619278fa679,Jeffrey,Bass,tanyasantiago@johnson-santana.org,936.716.6710x8869,2020-05-01
df8dac36-8379-4fe6-9d26-80fbdf1ed56c,Theresa,Ponce,kimberly14@juarez-rangel.org,001-352-545-8631,2024-09-10
a8c78531-f133-42e2-be7f-f31fbd0e1425,James,Rivera,ryan66@johnson.com,(408)592-6844x952,2020-07-13
50091d7b-8f0a-4922-b79c-6455b0f787ad,Amanda,Perez,floreschristopher@hotmail.com,(712)638-9423,2023-08-23
58c407d6-d1bf-450e-9e50-2c5fca532ffb,Cheryl,Obrien,russellmitchell@caldwell-aguilar.info,(116)945-2162x1183,2021-01-05
aee9a109-7223-49fd-bf34-3930609dce81,Jeremy,Russo,samantha34@glass.net,502-359-9662,2019-12-05
eb4a637d-fe01-4d1c-bb98-62b750e0888e,Fernando,White,reyesjerry@hotmail.com,915-558-3723,2021-03-07
a90d6bd6-e0b2-43c1-a566-5ea5085d40de,Casey,Hernandez,jhall@moss.com,001-736-588-3962x229,2022-06-09
8b6205ab-db39-4e59-bcff-6e689b04fd2c,Ralph,Reynolds,tsuarez@hotmail.com,396.996.7151x1432,2020-02-08
7f4a9cf6-df94-4b81-a9b5-3a9010a7cf26,Leah,Rollins,annawalters@gmail.com,001-952-394-7085,2021-06-29
f09d02f0-9716-4dbd-a7c5-ca311f204aed,Charles,Williams,fmoore@johnson.com,(094)526-6330x845,2022-06-12
ccfee14c-06ea-4468-9129-2084ebac72e9,Kevin,Carpenter,mccormickbrianna@hotmail.com,(644)199-0713,2022-02-17
0e8fa9c5-f2bd-4b65-94e3-d22f946a3613,Jessica,Scott,moorewendy@gmail.com,001-683-509-2459x8560,2021-11-16
7e4c8cf2-2861-484e-9ede-aa0379887c9a,Luis,Lee,calebgarcia@gmail.com,+1-614-389-0662x7327,2022-12-21
57c04ac9-c3c1-4643-be1b-ab776907b65c,Jill,Williams,christine57@thomas.com,+1-282-715-2198,2022-06-26
72c581b8-7731-4f2e-9fc7-515a4a8de0bb,George,Rojas,matthew58@garrison-kelly.info,718.064.2033x99811,2023-07-07
026b3dab-fd87-42c2-81a6-f7296277cdb6,Christine,Miller,schmidtchristian@king-leonard.com,470-643-7618,2023-01-31
c3849c54-dd37-43db-9a8c-759bc73a3706,Kevin,Williams,ftate@gmail.com,391-507-4342x78529,2021-03-19
2d72c2c2-28e2-4ed6-a28d-7de78a2e66be,Jessica,Davis,harrisonvanessa@brown.com,(425)951-9086x7245,2023-08-07
012c596a-ded2-41bf-86bc-54864ecbceb7,Jessica,Franklin,john91@garza.com,843.543.7582x079,2020-05-04
f747da7b-bded-4362-8a6b-085382d49327,Katie,Cabrera,christophergriffin@yahoo.com,001-727-120-4877x772,2023-08-13
f1a0bc9a-d3d4-4295-b388-e5442dca9798,Rachel,Mcbride,ehayden@hotmail.com,868.949.2741x247,2023-11-27
